Time,VehicleId,Pos_x,Pos_y,Speed,Lane,Acceleration,LeaderID,LeaderSpeed,LeaderGap,Deceleration,RelativeSpeed,TTC,SafeDistance,hard_brake,danger_accel_toward_leader,leader_stopped,no_reaction_to_stopped_leader,SafeDangerZone
0.0,10101,-100.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
0.1,10101,-99.97,-1.6,0.3,21,2.99,-1,-1.0,-1.0,0.0,1.3,999.0,0.09,False,False,False,False,0
0.2,10101,-99.91,-1.6,0.59,21,2.89,-1,-1.0,-1.0,0.0,1.5899999999999999,999.0,0.177,False,False,False,False,0
0.3,10101,-99.83,-1.6,0.84,21,2.57,-1,-1.0,-1.0,0.0,1.8399999999999999,999.0,0.252,False,False,False,False,0
0.4,10101,-99.72,-1.6,1.1,21,2.57,-1,-1.0,-1.0,0.0,2.1,999.0,0.33000000000000007,False,False,False,False,0
0.5,10101,-99.58,-1.6,1.34,21,2.34,-1,-1.0,-1.0,0.0,2.34,999.0,0.402,False,False,False,False,0
0.6,10101,-99.42,-1.6,1.6,21,2.69,-1,-1.0,-1.0,0.0,2.6,999.0,0.48,False,False,False,False,0
0.7,10101,-99.24,-1.6,1.87,21,2.66,-1,-1.0,-1.0,0.0,2.87,999.0,0.5609999999999999,False,False,False,False,0
0.8,10101,-99.03,-1.6,2.06,21,1.95,-1,-1.0,-1.0,0.0,3.06,999.0,0.6180000000000001,False,False,False,False,0
0.9,10101,-98.8,-1.6,2.29,21,2.23,-1,-1.0,-1.0,0.0,3.29,999.0,0.687,False,False,False,False,0
1.0,10101,-98.55,-1.6,2.54,21,2.53,-1,-1.0,-1.0,0.0,3.54,999.0,0.762,False,False,False,False,0
1.1,10101,-98.28,-1.6,2.7,21,1.6,-1,-1.0,-1.0,0.0,3.7,999.0,0.81,False,False,False,False,0
1.2,10101,-97.99,-1.6,2.88,21,1.79,-1,-1.0,-1.0,0.0,3.88,999.0,0.8639999999999999,False,False,False,False,0
1.3,10101,-97.68,-1.6,3.05,21,1.67,-1,-1.0,-1.0,0.0,4.05,999.0,0.915,False,False,False,False,0
1.4,10101,-97.36,-1.6,3.25,21,2.03,-1,-1.0,-1.0,0.0,4.25,999.0,0.9750000000000001,False,False,False,False,0
1.5,10101,-97.01,-1.6,3.48,21,2.29,-1,-1.0,-1.0,0.0,4.48,999.0,1.044,False,False,False,False,0
1.6,10101,-96.63,-1.6,3.78,21,2.98,-1,-1.0,-1.0,0.0,4.779999999999999,999.0,1.134,False,False,False,False,0
1.7,10101,-96.24,-1.6,3.98,21,2.03,-1,-1.0,-1.0,0.0,4.98,999.0,1.194,False,False,False,False,0
1.8,10101,-95.81,-1.6,4.23,21,2.51,-1,-1.0,-1.0,0.0,5.23,999.0,1.2690000000000001,False,False,False,False,0
1.9,10101,-95.37,-1.6,4.43,21,2.03,-1,-1.0,-1.0,0.0,5.43,999.0,1.3289999999999997,False,False,False,False,0
2.0,2,94.9,1.6,0.0,14,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
