Time,VehicleId,Pos_x,Pos_y,Speed,Lane,LeaderID,LeaderSpeed,LeaderGap,Acceleration,Deceleration,RelativeSpeed,TTC,SafeDistance,LanePrev,lane_opposite_change,SafeUnsafeOvertaking
0.0,10101,-100.0,-1.6,0.0,21,-1.0,-1.0,-1.0,0.0,0.0,1.0,999.0,999.0,999.0,False,0
0.1,10101,-99.97,-1.6,0.3,21,-1.0,-1.0,-1.0,2.99,0.0,1.3,999.0,999.0,21.0,False,0
0.2,10101,-99.91,-1.6,0.59,21,-1.0,-1.0,-1.0,2.89,0.0,1.5899999999999999,999.0,999.0,21.0,False,0
0.3,10101,-99.83,-1.6,0.84,21,-1.0,-1.0,-1.0,2.57,0.0,1.8399999999999999,999.0,999.0,21.0,False,0
0.4,10101,-99.72,-1.6,1.1,21,-1.0,-1.0,-1.0,2.57,0.0,2.1,999.0,999.0,21.0,False,0
0.5,10101,-99.58,-1.6,1.34,21,-1.0,-1.0,-1.0,2.34,0.0,2.34,999.0,999.0,21.0,False,0
0.6,10101,-99.42,-1.6,1.6,21,-1.0,-1.0,-1.0,2.69,0.0,2.6,999.0,999.0,21.0,False,0
0.7,10101,-99.24,-1.6,1.87,21,-1.0,-1.0,-1.0,2.66,0.0,2.87,999.0,999.0,21.0,False,0
0.8,10101,-99.03,-1.6,2.06,21,-1.0,-1.0,-1.0,1.95,0.0,3.06,999.0,999.0,21.0,False,0
0.9,10101,-98.8,-1.6,2.29,21,-1.0,-1.0,-1.0,2.23,0.0,3.29,999.0,999.0,21.0,False,0
1.0,10101,-98.55,-1.6,2.54,21,-1.0,-1.0,-1.0,2.53,0.0,3.54,999.0,999.0,21.0,False,0
1.1,10101,-98.28,-1.6,2.7,21,-1.0,-1.0,-1.0,1.6,0.0,3.7,999.0,999.0,21.0,False,0
1.2,10101,-97.99,-1.6,2.88,21,-1.0,-1.0,-1.0,1.79,0.0,3.88,999.0,999.0,21.0,False,0
1.3,10101,-97.68,-1.6,3.05,21,-1.0,-1.0,-1.0,1.67,0.0,4.05,999.0,999.0,21.0,False,0
1.4,10101,-97.36,-1.6,3.25,21,-1.0,-1.0,-1.0,2.03,0.0,4.25,999.0,999.0,21.0,False,0
1.5,10101,-97.01,-1.6,3.48,21,-1.0,-1.0,-1.0,2.29,0.0,4.48,999.0,999.0,21.0,False,0
1.6,10101,-96.63,-1.6,3.78,21,-1.0,-1.0,-1.0,2.98,0.0,4.779999999999999,999.0,999.0,21.0,False,0
1.7,10101,-96.24,-1.6,3.98,21,-1.0,-1.0,-1.0,2.03,0.0,4.98,999.0,999.0,21.0,False,0
1.8,10101,-95.81,-1.6,4.23,21,-1.0,-1.0,-1.0,2.51,0.0,5.23,999.0,999.0,21.0,False,0
1.9,10101,-95.37,-1.6,4.43,21,-1.0,-1.0,-1.0,2.03,0.0,5.43,999.0,999.0,21.0,False,0
2.0,2,94.9,1.6,0.0,14,-1.0,-1.0,-1.0,0.0,0.0,1.0,999.0,999.0,999.0,False,0
2.0,10101,-94.9,-1.6,4.67,21,-1.0,-1.0,-1.0,2.37,0.0,5.67,999.0,999.0,21.0,False,0
2.1,2,94.02,1.6,8.8,14,-1.0,-1.0,-1.0,87.97,0.0,9.8,999.0,999.0,14.0,False,0
2.1,10101,-94.42,-1.6,4.85,21,-1.0,-1.0,-1.0,1.81,0.0,5.85,999.0,999.0,21.0,False,0
2.2,2,92.56,1.6,14.59,14,-1.0,-1.0,-1.0,57.91,0.0,15.59,999.0,999.0,14.0,False,0
2.2,10101,-93.9,-1.6,5.13,21,-1.0,-1.0,-1.0,2.77,0.0,6.13,999.0,999.0,21.0,False,0
2.3,2,91.12,1.6,14.42,14,-1.0,-1.0,-1.0,-1.68,1.68,15.42,999.0,77.30583333333333,14.0,False,0
2.3,10101,-93.37,-1.6,5.33,21,-1.0,-1.0,-1.0,2.01,0.0,6.33,999.0,999.0,21.0,False,0
2.4,2,89.63,1.6,14.94,14,-1.0,-1.0,-1.0,5.16,0.0,15.94,999.0,999.0,14.0,False,0
2.4,10101,-92.81,-1.6,5.55,21,-1.0,-1.0,-1.0,2.21,0.0,6.55,999.0,999.0,21.0,False,0
2.5,2,88.15,1.6,14.74,14,-1.0,-1.0,-1.0,-2.0,2.0,15.74,999.0,70.0569,14.0,False,0
2.5,10101,-92.23,-1.6,5.82,21,-1.0,-1.0,-1.0,2.7,0.0,6.82,999.0,999.0,21.0,False,0
2.6,2,86.7,1.6,14.55,14,-1.0,-1.0,-1.0,-1.82,1.82,15.55,999.0,73.71002747252747,14.0,False,0
2.6,3,94.9,1.6,0.0,14,2.0,14.55,3.2,0.0,0.0,-14.55,999.0,999.0,999.0,False,0
2.6,10101,-91.63,-1.6,6.02,21,-1.0,-1.0,-1.0,1.96,0.0,7.02,999.0,999.0,21.0,False,0
2.7,2,85.26,1.6,14.36,14,-1.0,-1.0,-1.0,-1.94,1.94,15.36,999.0,68.50680412371133,14.0,False,0
