"Time","VehicleId","Pos_x","Pos_y","Type","Speed","Lane","LeaderID","LeaderSpeed","LeaderGap","Acceleration","Slope"
"0","0","0.69","1172.48","DEFAULTVEHTYPE","12.59","36260898500","-1","-1","-1","6.97","0"
"0.1","0","0.7","1172.46","DEFAULTVEHTYPE","0.25","36260898500","-1","-1","-1","4.91","0"
"0.2","0","0.72","1172.41","DEFAULTVEHTYPE","0.49","36260898500","-1","-1","-1","5.49","0"
"0.3","0","0.75","1172.35","DEFAULTVEHTYPE","0.73","36260898500","-1","-1","-1","5.32","0"
"0.4","0","0.79","1172.26","DEFAULTVEHTYPE","0.95","36260898500","-1","-1","-1","4.99","0"
"0.5","0","0.84","1172.15","DEFAULTVEHTYPE","1.18","36260898500","-1","-1","-1","4.73","0"
"0.6","0","0.9","1172.02","DEFAULTVEHTYPE","1.42","36260898500","-1","-1","-1","4.69","0"
"0.7","0","0.97","1171.88","DEFAULTVEHTYPE","1.6","36260898500","-1","-1","-1","-5.82","0"
"0.8","0","1.04","1171.71","DEFAULTVEHTYPE","1.82","36260898500","-1","-1","-1","5.2","0"
"0.9","0","1.13","1171.53","DEFAULTVEHTYPE","2.05","36260898500","-1","-1","-1","5.31","0"
"1","0","1.22","1171.33","DEFAULTVEHTYPE","2.2","36260898500","-1","-1","-1","6.5","0"
"1.1","1","1044.85","5.28","DEFAULTVEHTYPE","12.59","336260898570","-1","-1","-1","6.97","0"
"1.1","0","1.32","1171.11","DEFAULTVEHTYPE","2.45","36260898500","-1","-1","-1","4.91","0"
"1.2","1","1044.84","5.3","DEFAULTVEHTYPE","0.26","336260898570","-1","-1","-1","-7.58","0"
"1.2","0","1.43","1170.87","DEFAULTVEHTYPE","2.67","36260898500","-1","-1","-1","5.18","0"
"1.3","1","1044.81","5.34","DEFAULTVEHTYPE","0.5","336260898570","-1","-1","-1","6.42","0"
"1.3","0","1.56","1170.6","DEFAULTVEHTYPE","2.91","36260898500","-1","-1","-1","-6.42","0"
"1.4","1","1044.78","5.41","DEFAULTVEHTYPE","0.75","336260898570","-1","-1","-1","-6.45","0"
"1.4","0","1.69","1170.32","DEFAULTVEHTYPE","3.11","36260898500","-1","-1","-1","5.02","0"
"1.5","1","1044.74","5.5","DEFAULTVEHTYPE","0.97","336260898570","-1","-1","-1","5.18","0"
"1.5","0","1.83","1170.02","DEFAULTVEHTYPE","3.31","36260898500","-1","-1","-1","5.01","0"
"1.6","1","1044.69","5.6","DEFAULTVEHTYPE","1.18","336260898570","-1","-1","-1","-5.12","0"
"1.6","0","1.97","1169.71","DEFAULTVEHTYPE","3.45","36260898500","-1","-1","-1","5.39","0"
"1.7","1","1044.62","5.73","DEFAULTVEHTYPE","1.39","336260898570","-1","-1","-1","-5.14","0"
"1.7","0","2.13","1169.37","DEFAULTVEHTYPE","3.71","36260898500","-1","-1","-1","-7.59","0"
"1.8","1","1044.55","5.87","DEFAULTVEHTYPE","1.58","336260898570","-1","-1","-1","-6.85","0"
"1.8","0","2.29","1169.02","DEFAULTVEHTYPE","3.87","36260898500","-1","-1","-1","4.61","0"
"1.9","1","1044.47","6.03","DEFAULTVEHTYPE","1.77","336260898570","-1","-1","-1","5.97","0"
"1.9","0","2.46","1168.65","DEFAULTVEHTYPE","4.04","36260898500","-1","-1","-1","-4.76","0"
"2","1","1044.39","6.2","DEFAULTVEHTYPE","1.94","336260898570","-1","-1","-1","4.69","0"
"2","0","2.64","1168.26","DEFAULTVEHTYPE","4.25","36260898500","-1","-1","-1","-5.06","0"
"2.1","1","1044.29","6.39","DEFAULTVEHTYPE","2.15","336260898570","-1","-1","-1","5.05","0"
"2.1","0","2.82","1167.87","DEFAULTVEHTYPE","4.39","36260898500","-1","-1","-1","5.45","0"
"2.2","1","1044.19","6.61","DEFAULTVEHTYPE","2.38","336260898570","-1","-1","-1","-5.29","0"
"2.2","0","3.01","1167.45","DEFAULTVEHTYPE","4.62","36260898500","-1","-1","-1","5.24","0"
"2.3","1","1044.07","6.84","DEFAULTVEHTYPE","2.56","336260898570","-1","-1","-1","-6.87","0"
"2.3","0","3.22","1167.01","DEFAULTVEHTYPE","4.82","36260898500","-1","-1","-1","5.01","0"
"2.4","1","1043.95","7.09","DEFAULTVEHTYPE","2.81","336260898570","-1","-1","-1","-6.45","0"
"2.4","0","3.42","1166.56","DEFAULTVEHTYPE","4.97","36260898500","-1","-1","-1","4.52","0"
"2.5","1","1043.81","7.36","DEFAULTVEHTYPE","3.03","336260898570","-1","-1","-1","-5.16","0"
"2.5","0","3.64","1166.09","DEFAULTVEHTYPE","5.16","36260898500","-1","-1","-1","-6.89","0"
"2.6","1","1043.67","7.64","DEFAULTVEHTYPE","3.16","336260898570","-1","-1","-1","5.39","0"
"2.6","0","3.87","1165.6","DEFAULTVEHTYPE","5.35","36260898500","-1","-1","-1","4.88","0"
"2.7","1","1043.52","7.94","DEFAULTVEHTYPE","3.3","336260898570","-1","-1","-1","5.34","0"
"2.7","2","0.69","1172.48","DEFAULTVEHTYPE","12.59","36260898500","0","5.35","2.05","6.97","0"
"2.7","0","4.1","1165.1","DEFAULTVEHTYPE","5.55","36260898500","-1","-1","-1","-5.04","0"
"2.8","1","1043.37","8.25","DEFAULTVEHTYPE","3.53","336260898570","-1","-1","-1","5.32","0"
"2.8","2","0.7","1172.46","DEFAULTVEHTYPE","0.25","36260898500","0","5.55","2.1","-7.5","0"
