Time,VehicleId,Pos_x,Pos_y,Angle,Type,Speed,Lane,Slope,Acceleration,LeaderID,LeaderSpeed,LeaderGap
0,10101,-100,-1.6,90,obstacle,0,west_right_0,0,0,-1,-1,-1
0.1,10101,-99.97,-1.6,90,obstacle,0.3,west_right_0,0,2.99,-1,-1,-1
0.2,10101,-99.91,-1.6,90,obstacle,0.59,west_right_0,0,2.89,-1,-1,-1
0.3,10101,-99.83,-1.6,90,obstacle,0.84,west_right_0,0,2.57,-1,-1,-1
0.4,10101,-99.72,-1.6,90,obstacle,1.1,west_right_0,0,2.57,-1,-1,-1
0.5,10101,-99.58,-1.6,90,obstacle,1.34,west_right_0,0,2.34,-1,-1,-1
0.6,10101,-99.42,-1.6,90,obstacle,1.6,west_right_0,0,2.69,-1,-1,-1
0.7,10101,-99.24,-1.6,90,obstacle,1.87,west_right_0,0,2.66,-1,-1,-1
0.8,10101,-99.03,-1.6,90,obstacle,2.06,west_right_0,0,1.95,-1,-1,-1
0.9,10101,-98.8,-1.6,90,obstacle,2.29,west_right_0,0,2.23,-1,-1,-1
1,10101,-98.55,-1.6,90,obstacle,2.54,west_right_0,0,2.53,-1,-1,-1
1.1,10101,-98.28,-1.6,90,obstacle,2.7,west_right_0,0,1.6,-1,-1,-1
1.2,10101,-97.99,-1.6,90,obstacle,2.88,west_right_0,0,1.79,-1,-1,-1
1.3,10101,-97.68,-1.6,90,obstacle,3.05,west_right_0,0,1.67,-1,-1,-1
1.4,10101,-97.36,-1.6,90,obstacle,3.25,west_right_0,0,2.03,-1,-1,-1
1.5,10101,-97.01,-1.6,90,obstacle,3.48,west_right_0,0,2.29,-1,-1,-1
1.6,10101,-96.63,-1.6,90,obstacle,3.78,west_right_0,0,2.98,-1,-1,-1
1.7,10101,-96.24,-1.6,90,obstacle,3.98,west_right_0,0,2.03,-1,-1,-1
1.8,10101,-95.81,-1.6,90,obstacle,4.23,west_right_0,0,2.51,-1,-1,-1
1.9,10101,-95.37,-1.6,90,obstacle,4.43,west_right_0,0,2.03,-1,-1,-1
2,2,94.9,1.6,270,type3,0,east_left_0,0,0,-1,-1,-1
2,10101,-94.9,-1.6,90,obstacle,4.67,west_right_0,0,2.37,-1,-1,-1
2.1,2,94.02,1.6,270,type3,8.8,east_left_0,0,87.97,-1,-1,-1
2.1,10101,-94.42,-1.6,90,obstacle,4.85,west_right_0,0,1.81,-1,-1,-1
2.2,2,92.56,1.6,270,type3,14.59,east_left_0,0,57.91,-1,-1,-1
2.2,10101,-93.9,-1.6,90,obstacle,5.13,west_right_0,0,2.77,-1,-1,-1
2.3,2,91.12,1.6,270,type3,14.42,east_left_0,0,-1.68,-1,-1,-1
2.3,10101,-93.37,-1.6,90,obstacle,5.33,west_right_0,0,2.01,-1,-1,-1
2.4,2,89.63,1.6,270,type3,14.94,east_left_0,0,5.16,-1,-1,-1
2.4,10101,-92.81,-1.6,90,obstacle,5.55,west_right_0,0,2.21,-1,-1,-1
2.5,2,88.15,1.6,270,type3,14.74,east_left_0,0,-2,-1,-1,-1
2.5,10101,-92.23,-1.6,90,obstacle,5.82,west_right_0,0,2.7,-1,-1,-1
2.6,2,86.7,1.6,270,type3,14.55,east_left_0,0,-1.82,-1,-1,-1
2.6,3,94.9,1.6,270,type3,0,east_left_0,0,0,2,14.55,3.2
2.6,10101,-91.63,-1.6,90,obstacle,6.02,west_right_0,0,1.96,-1,-1,-1
2.7,2,85.26,1.6,270,type3,14.36,east_left_0,0,-1.94,-1,-1,-1
2.7,3,94.02,1.6,270,type3,8.77,east_left_0,0,87.66,2,14.36,3.76
2.7,10101,-91.01,-1.6,90,obstacle,6.18,west_right_0,0,1.61,-1,-1,-1
