"Time","VehicleId","Pos_x","Pos_y","Type","Speed","Lane","Slope","LeaderID","LeaderSpeed","LeaderGap","Acceleration"
"0.00","x","-100.00","-1.60","obstacle","0.00","west_right_0","0.00","-1","-1","-1","0.00"
"0.10","x","-99.97","-1.60","obstacle","0.30","west_right_0","0.00","-1","-1","-1","2.99"
"0.20","x","-99.91","-1.60","obstacle","0.59","west_right_0","0.00","-1","-1","-1","2.89"
"0.30","x","-99.83","-1.60","obstacle","0.84","west_right_0","0.00","-1","-1","-1","2.57"
"0.40","x","-99.72","-1.60","obstacle","1.10","west_right_0","0.00","-1","-1","-1","2.57"
"0.50","x","-99.58","-1.60","obstacle","1.34","west_right_0","0.00","-1","-1","-1","2.34"
"0.60","x","-99.42","-1.60","obstacle","1.60","west_right_0","0.00","-1","-1","-1","2.69"
"0.70","x","-99.24","-1.60","obstacle","1.87","west_right_0","0.00","-1","-1","-1","2.66"
"0.80","x","-99.03","-1.60","obstacle","2.06","west_right_0","0.00","-1","-1","-1","1.95"
"0.90","x","-98.80","-1.60","obstacle","2.29","west_right_0","0.00","-1","-1","-1","2.23"
"1.00","x","-98.55","-1.60","obstacle","2.54","west_right_0","0.00","-1","-1","-1","2.53"
"1.10","x","-98.28","-1.60","obstacle","2.70","west_right_0","0.00","-1","-1","-1","1.60"
"1.20","x","-97.99","-1.60","obstacle","2.88","west_right_0","0.00","-1","-1","-1","1.79"
"1.30","x","-97.68","-1.60","obstacle","3.05","west_right_0","0.00","-1","-1","-1","1.67"
"1.40","x","-97.36","-1.60","obstacle","3.25","west_right_0","0.00","-1","-1","-1","2.03"
"1.50","x","-97.01","-1.60","obstacle","3.48","west_right_0","0.00","-1","-1","-1","2.29"
"1.60","x","-96.63","-1.60","obstacle","3.78","west_right_0","0.00","-1","-1","-1","2.98"
"1.70","x","-96.24","-1.60","obstacle","3.98","west_right_0","0.00","-1","-1","-1","2.03"
"1.80","x","-95.81","-1.60","obstacle","4.23","west_right_0","0.00","-1","-1","-1","2.51"
"1.90","x","-95.37","-1.60","obstacle","4.43","west_right_0","0.00","-1","-1","-1","2.03"
"2.00","vehicle_2","94.90","1.60","type3","0.00","east_left_0","0.00","-1","-1","-1","0.00"
"2.00","x","-94.90","-1.60","obstacle","4.67","west_right_0","0.00","-1","-1","-1","2.37"
"2.10","vehicle_2","94.02","1.60","type3","8.80","east_left_0","0.00","-1","-1","-1","87.97"
"2.10","x","-94.42","-1.60","obstacle","4.85","west_right_0","0.00","-1","-1","-1","1.81"
"2.20","vehicle_2","92.56","1.60","type3","14.59","east_left_0","0.00","-1","-1","-1","57.91"
"2.20","x","-93.90","-1.60","obstacle","5.13","west_right_0","0.00","-1","-1","-1","2.77"
"2.30","vehicle_2","91.12","1.60","type3","14.42","east_left_0","0.00","-1","-1","-1","-1.68"
"2.30","x","-93.37","-1.60","obstacle","5.33","west_right_0","0.00","-1","-1","-1","2.01"
"2.40","vehicle_2","89.63","1.60","type3","14.94","east_left_0","0.00","-1","-1","-1","5.16"
"2.40","x","-92.81","-1.60","obstacle","5.55","west_right_0","0.00","-1","-1","-1","2.21"
"2.50","vehicle_2","88.15","1.60","type3","14.74","east_left_0","0.00","-1","-1","-1","-2.00"
"2.50","x","-92.23","-1.60","obstacle","5.82","west_right_0","0.00","-1","-1","-1","2.70"
"2.60","vehicle_2","86.70","1.60","type3","14.55","east_left_0","0.00","-1","-1","-1","-1.82"
"2.60","vehicle_3","94.90","1.60","type3","0.00","east_left_0","0.00","vehicle_2","14.55","3.20","0.00"
"2.60","x","-91.63","-1.60","obstacle","6.02","west_right_0","0.00","-1","-1","-1","1.96"
"2.70","vehicle_2","85.26","1.60","type3","14.36","east_left_0","0.00","-1","-1","-1","-1.94"
"2.70","vehicle_3","94.02","1.60","type3","8.77","east_left_0","0.00","vehicle_2","14.36","3.76","87.66"
"2.70","x","-91.01","-1.60","obstacle","6.18","west_right_0","0.00","-1","-1","-1","1.61"
"2.80","vehicle_2","83.78","1.60","type3","14.78","east_left_0","0.00","-1","-1","-1","4.18"
"2.80","vehicle_3","92.81","1.60","type3","12.14","east_left_0","0.00","vehicle_2","14.78","4.03","33.73"
"2.80","x","-90.38","-1.60","obstacle","6.35","west_right_0","0.00","-1","-1","-1","1.67"
"2.90","vehicle_2","82.32","1.60","type3","14.58","east_left_0","0.00","-1","-1","-1","-2.00"
"2.90","vehicle_3","91.51","1.60","type3","12.95","east_left_0","0.00","vehicle_2","14.58","4.19","8.10"
"2.90","x","-89.72","-1.60","obstacle","6.58","west_right_0","0.00","-1","-1","-1","2.31"
"3.00","vehicle_2","80.85","1.60","type3","14.71","east_left_0","0.00","-1","-1","-1","1.29"
"3.00","vehicle_3","90.24","1.60","type3","12.79","east_left_0","0.00","vehicle_2","14.71","4.38","-1.56"
"3.00","vehicle_4","-1.60","94.90","type2","0.00","north_down_0","0.00","-1","-1","-1","0.00"
"3.00","x","-89.04","-1.60","obstacle","6.83","west_right_0","0.00","-1","-1","-1","2.49"
"3.10","vehicle_2","79.40","1.60","type3","14.51","east_left_0","0.00","-1","-1","-1","-2.00"
"3.10","vehicle_3","88.97","1.60","type3","12.67","east_left_0","0.00","vehicle_2","14.51","4.57","-1.22"
"3.10","vehicle_4","-1.60","94.51","type2","3.94","north_down_0","0.00","-1","-1","-1","39.39"
"3.10","x","-88.34","-1.60","obstacle","7.03","west_right_0","0.00","-1","-1","-1","2.04"
"3.20","vehicle_2","77.94","1.60","type3","14.63","east_left_0","0.00","-1","-1","-1","1.27"
"3.20","vehicle_3","87.72","1.60","type3","12.47","east_left_0","0.00","vehicle_2","14.63","4.78","-2.00"
"3.20","vehicle_4","-1.60","93.73","type2","7.76","north_down_0","0.00","-1","-1","-1","38.21"
"3.20","x","-87.61","-1.60","obstacle","7.22","west_right_0","0.00","-1","-1","-1","1.89"
"3.30","vehicle_0","-94.90","-1.60","type1","0.00","west_right_0","0.00","x","7.42","3.03","0.00"
"3.30","vehicle_2","76.50","1.60","type3","14.43","east_left_0","0.00","-1","-1","-1","-2.00"
"3.30","vehicle_3","86.42","1.60","type3","12.97","east_left_0","0.00","vehicle_2","14.43","4.93","4.99"
"3.30","vehicle_4","-1.60","92.58","type2","11.54","north_down_0","0.00","-1","-1","-1","37.79"
"3.30","x","-86.87","-1.60","obstacle","7.42","west_right_0","0.00","-1","-1","-1","2.04"
"3.40","vehicle_0","-94.47","-1.60","type1","4.33","west_right_0","0.00","x","7.60","3.36","43.31"
"3.40","vehicle_2","75.04","1.60","type3","14.57","east_left_0","0.00","-1","-1","-1","1.37"
"3.40","vehicle_3","85.15","1.60","type3","12.77","east_left_0","0.00","vehicle_2","14.57","5.11","-2.00"
"3.40","vehicle_4","-1.60","91.44","type2","11.36","north_down_0","0.00","-1","-1","-1","-1.83"
"3.40","x","-86.11","-1.60","obstacle","7.60","west_right_0","0.00","-1","-1","-1","1.79"
"3.50","vehicle_0","-94.00","-1.60","type1","4.68","west_right_0","0.00","x","7.83","3.67","3.50"
"3.50","vehicle_2","73.54","1.60","type3","14.99","east_left_0","0.00","-1","-1","-1","4.17"
"3.50","vehicle_3","83.88","1.60","type3","12.66","east_left_0","0.00","vehicle_2","14.99","5.34","-1.11"
"3.50","vehicle_4","-1.60","90.32","type2","11.25","north_down_0","0.00","-1","-1","-1","-1.06"
"3.50","x","-85.33","-1.60","obstacle","7.83","west_right_0","0.00","-1","-1","-1","2.25"
"3.60","vehicle_0","-93.52","-1.60","type1","4.80","west_right_0","0.00","x","8.07","4.00","1.23"
"3.60","vehicle_2","72.06","1.60","type3","14.79","east_left_0","0.00","-1","-1","-1","-2.00"
"3.60","vehicle_3","82.57","1.60","type3","13.12","east_left_0","0.00","vehicle_2","14.79","5.51","4.63"
"3.60","vehicle_4","-1.60","89.17","type2","11.41","north_down_0","0.00","-1","-1","-1","1.61"
"3.60","x","-84.52","-1.60","obstacle","8.07","west_right_0","0.00","-1","-1","-1","2.45"
"3.70","vehicle_0","-92.99","-1.60","type1","5.29","west_right_0","0.00","x","8.24","4.29","4.90"
"3.70","vehicle_2","70.60","1.60","type3","14.59","east_left_0","0.00","-1","-1","-1","-2.00"
"3.70","vehicle_3","81.28","1.60","type3","12.92","east_left_0","0.00","vehicle_2","14.59","5.67","-2.00"
"3.70","vehicle_4","-1.60","88.07","type2","11.07","north_down_0","0.00","-1","-1","-1","-3.44"
"3.70","x","-83.70","-1.60","obstacle","8.24","west_right_0","0.00","-1","-1","-1","1.70"
"3.80","vehicle_0","-92.44","-1.60","type1","5.48","west_right_0","0.00","x","8.40","4.58","1.91"
"3.80","vehicle_2","69.14","1.60","type3","14.62","east_left_0","0.00","-1","-1","-1","0.34"
"3.80","vehicle_3","80.00","1.60","type3","12.72","east_left_0","0.00","vehicle_2","14.62","5.86","-2.00"
"3.80","vehicle_4","-1.60","86.95","type2","11.17","north_down_0","0.00","-1","-1","-1","1.04"
